url,x,y,w,h,label
http://images.cocodataset.org/train2017/000000008193.jpg,202,73,233,101,cell phone
http://images.cocodataset.org/train2017/000000196611.jpg,310,389,349,399,cell phone
http://images.cocodataset.org/train2017/000000311301.jpg,125,244,163,263,cell phone
http://images.cocodataset.org/train2017/000000229383.jpg,163,305,259,396,cell phone
http://images.cocodataset.org/train2017/000000229383.jpg,472,138,498,171,cell phone
http://images.cocodataset.org/train2017/000000229383.jpg,362,328,405,359,cell phone
http://images.cocodataset.org/train2017/000000229383.jpg,473,163,484,172,cell phone
http://images.cocodataset.org/train2017/000000032777.jpg,105,242,114,245,cell phone
http://images.cocodataset.org/train2017/000000434187.jpg,461,81,483,122,cell phone
http://images.cocodataset.org/train2017/000000229388.jpg,220,255,263,323,cell phone
http://images.cocodataset.org/train2017/000000213003.jpg,492,165,540,188,cell phone
http://images.cocodataset.org/train2017/000000253967.jpg,16,104,49,147,cell phone
http://images.cocodataset.org/train2017/000000253967.jpg,277,146,294,204,cell phone
http://images.cocodataset.org/train2017/000000253967.jpg,436,130,459,172,cell phone
http://images.cocodataset.org/train2017/000000253970.jpg,475,265,523,304,cell phone
http://images.cocodataset.org/train2017/000000483347.jpg,233,102,242,132,cell phone
http://images.cocodataset.org/train2017/000000294933.jpg,128,179,137,204,cell phone
http://images.cocodataset.org/train2017/000000532503.jpg,434,14,443,26,cell phone
http://images.cocodataset.org/train2017/000000516119.jpg,167,216,215,312,cell phone
http://images.cocodataset.org/train2017/000000581657.jpg,268,343,339,400,cell phone
http://images.cocodataset.org/train2017/000000524314.jpg,92,303,106,338,cell phone
http://images.cocodataset.org/train2017/000000426011.jpg,483,122,519,193,cell phone
http://images.cocodataset.org/train2017/000000426011.jpg,15,244,26,261,cell phone
http://images.cocodataset.org/train2017/000000040988.jpg,254,228,289,260,cell phone
http://images.cocodataset.org/train2017/000000458781.jpg,87,559,186,620,cell phone
http://images.cocodataset.org/train2017/000000548894.jpg,210,187,222,201,cell phone
http://images.cocodataset.org/train2017/000000548894.jpg,270,168,299,184,cell phone
http://images.cocodataset.org/train2017/000000417822.jpg,564,229,565,230,cell phone
http://images.cocodataset.org/train2017/000000114718.jpg,214,203,220,209,cell phone
http://images.cocodataset.org/train2017/000000114718.jpg,250,181,254,188,cell phone
http://images.cocodataset.org/train2017/000000213020.jpg,259,458,345,479,cell phone
http://images.cocodataset.org/train2017/000000245797.jpg,318,116,337,140,cell phone
http://images.cocodataset.org/train2017/000000114729.jpg,512,179,547,243,cell phone
http://images.cocodataset.org/train2017/000000466985.jpg,319,165,362,239,cell phone
http://images.cocodataset.org/train2017/000000540716.jpg,314,118,363,254,cell phone
http://images.cocodataset.org/train2017/000000483374.jpg,354,126,380,195,cell phone
http://images.cocodataset.org/train2017/000000483374.jpg,97,191,133,256,cell phone
http://images.cocodataset.org/train2017/000000081967.jpg,387,86,440,179,cell phone
http://images.cocodataset.org/train2017/000000155696.jpg,177,165,196,175,cell phone
http://images.cocodataset.org/train2017/000000155696.jpg,87,263,111,271,cell phone
http://images.cocodataset.org/train2017/000000442417.jpg,274,249,311,360,cell phone
http://images.cocodataset.org/train2017/000000442417.jpg,129,239,159,285,cell phone
http://images.cocodataset.org/train2017/000000327726.jpg,489,390,510,403,cell phone
http://images.cocodataset.org/train2017/000000254004.jpg,348,245,373,270,cell phone
http://images.cocodataset.org/train2017/000000278582.jpg,141,140,269,349,cell phone
http://images.cocodataset.org/train2017/000000286774.jpg,111,406,149,429,cell phone
http://images.cocodataset.org/train2017/000000286774.jpg,210,388,233,405,cell phone
http://images.cocodataset.org/train2017/000000172088.jpg,130,248,137,255,cell phone
http://images.cocodataset.org/train2017/000000327735.jpg,42,388,61,414,cell phone
http://images.cocodataset.org/train2017/000000458810.jpg,274,112,452,196,cell phone
http://images.cocodataset.org/train2017/000000057403.jpg,202,374,303,460,cell phone
http://images.cocodataset.org/train2017/000000041020.jpg,457,329,461,332,cell phone
http://images.cocodataset.org/train2017/000000041020.jpg,572,332,578,339,cell phone
http://images.cocodataset.org/train2017/000000245820.jpg,172,192,246,275,cell phone
http://images.cocodataset.org/train2017/000000426040.jpg,285,250,306,278,cell phone
http://images.cocodataset.org/train2017/000000426040.jpg,200,156,242,181,cell phone
http://images.cocodataset.org/train2017/000000139327.jpg,498,304,531,354,cell phone
http://images.cocodataset.org/train2017/000000221246.jpg,99,583,143,626,cell phone
http://images.cocodataset.org/train2017/000000180285.jpg,278,359,329,410,cell phone
http://images.cocodataset.org/train2017/000000032829.jpg,574,55,578,63,cell phone
http://images.cocodataset.org/train2017/000000032829.jpg,39,86,50,114,cell phone
http://images.cocodataset.org/train2017/000000270407.jpg,205,143,218,148,cell phone
http://images.cocodataset.org/train2017/000000475208.jpg,49,223,93,249,cell phone
http://images.cocodataset.org/train2017/000000548936.jpg,186,126,221,144,cell phone
http://images.cocodataset.org/train2017/000000491597.jpg,67,126,94,155,cell phone
http://images.cocodataset.org/train2017/000000467022.jpg,497,170,614,240,cell phone
http://images.cocodataset.org/train2017/000000548942.jpg,284,300,364,410,cell phone
http://images.cocodataset.org/train2017/000000327761.jpg,234,99,244,113,cell phone
http://images.cocodataset.org/train2017/000000196691.jpg,174,229,199,241,cell phone
http://images.cocodataset.org/train2017/000000196691.jpg,239,151,250,164,cell phone
http://images.cocodataset.org/train2017/000000057427.jpg,277,141,337,234,cell phone
http://images.cocodataset.org/train2017/000000147543.jpg,159,153,175,178,cell phone
http://images.cocodataset.org/train2017/000000262235.jpg,218,314,237,378,cell phone
http://images.cocodataset.org/train2017/000000008284.jpg,313,296,355,324,cell phone
http://images.cocodataset.org/train2017/000000008284.jpg,58,24,167,298,cell phone
http://images.cocodataset.org/train2017/000000008284.jpg,166,52,276,292,cell phone
http://images.cocodataset.org/train2017/000000008284.jpg,1,93,48,313,cell phone
http://images.cocodataset.org/train2017/000000008284.jpg,1,2,83,104,cell phone
http://images.cocodataset.org/train2017/000000008284.jpg,113,0,205,85,cell phone
http://images.cocodataset.org/train2017/000000008284.jpg,183,1,295,69,cell phone
http://images.cocodataset.org/train2017/000000008284.jpg,357,77,481,158,cell phone
http://images.cocodataset.org/train2017/000000540765.jpg,217,101,251,156,cell phone
http://images.cocodataset.org/train2017/000000147547.jpg,203,259,300,337,cell phone
http://images.cocodataset.org/train2017/000000147547.jpg,209,182,318,274,cell phone
http://images.cocodataset.org/train2017/000000024674.jpg,505,441,578,466,cell phone
http://images.cocodataset.org/train2017/000000442467.jpg,355,296,382,315,cell phone
http://images.cocodataset.org/train2017/000000442467.jpg,294,267,305,274,cell phone
http://images.cocodataset.org/train2017/000000286820.jpg,21,66,264,431,cell phone
http://images.cocodataset.org/train2017/000000286820.jpg,355,35,602,422,cell phone
http://images.cocodataset.org/train2017/000000131172.jpg,432,225,454,235,cell phone
http://images.cocodataset.org/train2017/000000131172.jpg,346,257,363,264,cell phone
http://images.cocodataset.org/train2017/000000131172.jpg,79,143,92,146,cell phone
http://images.cocodataset.org/train2017/000000131172.jpg,506,94,520,104,cell phone
http://images.cocodataset.org/train2017/000000049257.jpg,193,224,245,289,cell phone
http://images.cocodataset.org/train2017/000000049257.jpg,376,85,425,148,cell phone
http://images.cocodataset.org/train2017/000000049257.jpg,598,435,634,503,cell phone
http://images.cocodataset.org/train2017/000000335981.jpg,389,226,398,236,cell phone
http://images.cocodataset.org/train2017/000000335981.jpg,578,263,589,268,cell phone
http://images.cocodataset.org/train2017/000000548974.jpg,341,203,385,243,cell phone
http://images.cocodataset.org/train2017/000000548974.jpg,138,367,202,395,cell phone
http://images.cocodataset.org/train2017/000000548974.jpg,352,156,353,166,cell phone
http://images.cocodataset.org/train2017/000000213103.jpg,136,269,149,282,cell phone
http://images.cocodataset.org/train2017/000000147568.jpg,386,239,401,246,cell phone
http://images.cocodataset.org/train2017/000000180335.jpg,106,600,123,612,cell phone
http://images.cocodataset.org/train2017/000000008309.jpg,113,270,139,323,cell phone
http://images.cocodataset.org/train2017/000000540790.jpg,209,257,271,303,cell phone
http://images.cocodataset.org/train2017/000000352375.jpg,96,50,287,305,cell phone
http://images.cocodataset.org/train2017/000000311416.jpg,289,172,301,184,cell phone
http://images.cocodataset.org/train2017/000000311416.jpg,525,328,536,333,cell phone
http://images.cocodataset.org/train2017/000000311416.jpg,68,104,77,114,cell phone
http://images.cocodataset.org/train2017/000000311416.jpg,20,272,31,281,cell phone
http://images.cocodataset.org/train2017/000000385150.jpg,200,352,244,368,cell phone
http://images.cocodataset.org/train2017/000000376959.jpg,104,191,207,329,cell phone
